id,class_name,count
20240627202822.jpg,Bicycle,1
20240627202822.jpg,Motor_scooter,1
20240628063847.jpg,Car,13
20240628063847.jpg,Bicycle,8
20240628063847.jpg,Pedestrian,4
20240628063908.jpg,Car,7
20240628063908.jpg,Bicycle,6
20240628063908.jpg,Pedestrian,6
20240628064029.jpg,Car,21
20240628064029.jpg,Bicycle,14
20240628064029.jpg,Pedestrian,5
20240628064110.jpg,Car,16
20240628064110.jpg,Bicycle,12
20240628064110.jpg,Pedestrian,7
20240628064110.jpg,Motor_scooter,1
20240628064211.jpg,Car,20
20240628064211.jpg,Bicycle,6
20240628064211.jpg,Pedestrian,3
20240628064311.jpg,Car,14
20240628064311.jpg,Bicycle,13
20240628064311.jpg,Motor_scooter,1
20240628064311.jpg,Pedestrian,9
20240628064412.jpg,Car,21
20240628064412.jpg,Bicycle,8
20240628064412.jpg,Truck,2
20240628064412.jpg,Pedestrian,5
20240628064412.jpg,Motor_scooter,1
20240628064514.jpg,Car,30
20240628064514.jpg,Bicycle,9
20240628064514.jpg,Pedestrian,6
20240628064514.jpg,Truck,1
20240628064615.jpg,Car,14
20240628064615.jpg,Truck,1
20240628064615.jpg,Bicycle,24
20240628064615.jpg,Pedestrian,7
20240628064716.jpg,Car,7
20240628064716.jpg,Bicycle,17
20240628064716.jpg,Pedestrian,7
20240628064818.jpg,Car,8
20240628064818.jpg,Bicycle,14
20240628064818.jpg,Motor_scooter,1
20240628064818.jpg,Truck,2
20240628064818.jpg,Pedestrian,3
20240628064919.jpg,Car,5
20240628064919.jpg,Bicycle,6
20240628064919.jpg,Pedestrian,7
20240715084612.jpg,Car,12
20240715084612.jpg,Bicycle,2
20240715084612.jpg,Pedestrian,1
20240715084713.jpg,Bicycle,7
20240715084713.jpg,Car,5
20240715084713.jpg,Pedestrian,2
20240715084815.jpg,Bicycle,4
20240715084815.jpg,Car,3
20240715084815.jpg,Pedestrian,2
20240715084916.jpg,Car,5
20240715084916.jpg,Truck,1
20240715084916.jpg,Pedestrian,2
20240715084916.jpg,Bicycle,3
20240715085017.jpg,Car,11
20240715085017.jpg,Truck,2
20240715085017.jpg,Bicycle,4
20240715085017.jpg,Pedestrian,3
20240715142235.jpg,Car,12
20240715142235.jpg,Truck,1
20240715142235.jpg,Pedestrian,2
20240715142235.jpg,Bicycle,1
20240715142316.jpg,Car,29
20240715142316.jpg,Pedestrian,3
20240715142316.jpg,Bus,1
20240715142316.jpg,Truck,1
20240715142417.jpg,Car,10
20240715142417.jpg,Bicycle,8
20240715142417.jpg,Pedestrian,10
20240715143113.jpg,Bicycle,21
20240715143113.jpg,Car,3
20240715143113.jpg,Pedestrian,10
20240715143113.jpg,Motor_scooter,1
20240715143214.jpg,Bus,1
20240715143214.jpg,Car,34
20240715143214.jpg,Truck,2
20240715143214.jpg,Bicycle,7
20240715143214.jpg,Pedestrian,3
0a0f290e-_20240516163228.jpg,Car,2
0a0f290e-_20240516163228.jpg,Bicycle,1
0a0f290e-_20240516163228.jpg,Truck,1
20240627202432.jpg,Car,7
20240627202432.jpg,Bicycle,1
20240627202513.jpg,Car,1
20240627202513.jpg,Pedestrian,1
20240627202822.jpg,Car,4
20240627202822.jpg,Bicycle,1
20240627202822.jpg,Motor_scooter,1
20240628063847.jpg,Car,13
20240628063847.jpg,Bicycle,8
20240628063847.jpg,Pedestrian,4
20240628063908.jpg,Car,7
20240628063908.jpg,Bicycle,6
20240628063908.jpg,Pedestrian,6
20240628064029.jpg,Car,21
20240628064029.jpg,Bicycle,14
20240628064029.jpg,Pedestrian,5
20240628064110.jpg,Car,16
20240628064110.jpg,Bicycle,12
20240628064110.jpg,Pedestrian,7
20240628064110.jpg,Motor_scooter,1
20240628064211.jpg,Car,20
20240628064211.jpg,Bicycle,6
20240628064211.jpg,Pedestrian,3
20240628064311.jpg,Car,14
20240628064311.jpg,Bicycle,13
20240628064311.jpg,Motor_scooter,1
20240628064311.jpg,Pedestrian,9
20240628064412.jpg,Car,21
20240628064412.jpg,Bicycle,8
20240628064412.jpg,Truck,2
20240628064412.jpg,Pedestrian,5
20240628064412.jpg,Motor_scooter,1
20240628064514.jpg,Car,30
20240628064514.jpg,Bicycle,9
20240628064514.jpg,Pedestrian,6
20240628064514.jpg,Truck,1
20240628064615.jpg,Car,14
20240628064615.jpg,Truck,1
20240628064615.jpg,Bicycle,24
20240628064615.jpg,Pedestrian,7
20240628064716.jpg,Car,7
20240628064716.jpg,Bicycle,17
20240628064716.jpg,Pedestrian,7
20240628064818.jpg,Car,8
20240628064818.jpg,Bicycle,14
20240628064818.jpg,Motor_scooter,1
20240628064818.jpg,Truck,2
20240628064818.jpg,Pedestrian,3
20240628064919.jpg,Car,5
20240628064919.jpg,Bicycle,6
20240628064919.jpg,Pedestrian,7
20240715084612.jpg,Car,12
20240715084612.jpg,Bicycle,2
20240715084612.jpg,Pedestrian,1
20240715084713.jpg,Bicycle,7
20240715084713.jpg,Car,5
20240715084713.jpg,Pedestrian,2
20240715084815.jpg,Bicycle,4
20240715084815.jpg,Car,3
20240715084815.jpg,Pedestrian,2
20240715084916.jpg,Car,5
20240715084916.jpg,Truck,1
20240715084916.jpg,Pedestrian,2
20240715084916.jpg,Bicycle,3
20240715085017.jpg,Car,11
20240715085017.jpg,Truck,2
20240715085017.jpg,Bicycle,4
20240715085017.jpg,Pedestrian,3
20240715142235.jpg,Car,12
20240715142235.jpg,Truck,1
20240715142235.jpg,Pedestrian,2
20240715142235.jpg,Bicycle,1
20240715142316.jpg,Car,29
20240715142316.jpg,Pedestrian,3
20240715142316.jpg,Bus,1
20240715142316.jpg,Truck,1
20240715142417.jpg,Car,10
20240715142417.jpg,Bicycle,8
20240715142417.jpg,Pedestrian,10
20240715143113.jpg,Bicycle,21
20240715143113.jpg,Car,3
20240715143113.jpg,Pedestrian,10
20240715143113.jpg,Motor_scooter,1
20240715143214.jpg,Bus,1
20240715143214.jpg,Car,34
20240715143214.jpg,Truck,2
20240715143214.jpg,Bicycle,7
20240715143214.jpg,Pedestrian,3
20240715212513.jpg,Car,6
20240715212513.jpg,Bicycle,1
20240715212513.jpg,Pedestrian,1
20240715212614.jpg,Car,26
20240715212614.jpg,Bicycle,1
20240715212614.jpg,Pedestrian,1
20240715212716.jpg,Car,7
20240715212818.jpg,Car,2
20240715212818.jpg,Bicycle,1
20240715212919.jpg,Car,1
20240715212919.jpg,Pedestrian,1
20240715213020.jpg,Car,6
20240715213020.jpg,Pedestrian,1
20240715213121.jpg,Car,8
20240715213121.jpg,Truck,1
20240715213223.jpg,Car,13
